"gene_id","ImpulseDE2_padj","ImpulseDE2_response_type","ImpulseDE2_response_class","is_DE","Mfuzz_cluster","Mfuzz_membership","Mfuzz_highconf","Mfuzz_pattern","WGCNA_module","kME_own","is_hub","count_FOXO3","count_HSF1","count_NFE2L2","has_HSF1","has_FOXO3","has_NFE2L2","SwissProt_BlastHit","SwissProt_BlastEval","SwissProt_ProteinName","BiologicalProcess","GeneOntologyIDs","CellularComponent","MolecularFunction"
"Pocillopora_acuta_HIv2___RNAseq.g28136.t1a",0.929302734419106,"Other",NA,FALSE,NA,NA,NA,NA,"ME1",0.337785760780365,FALSE,0,0,0,FALSE,FALSE,FALSE,"Q8NDA2",1.08e-28,"Hemicentin-2","homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; synapse organization [GO:0050808]","GO:0005509; GO:0005576; GO:0005604; GO:0005886; GO:0005938; GO:0007156; GO:0008046; GO:0030054; GO:0030424; GO:0032154; GO:0043025; GO:0050808; GO:0062023","axon [GO:0030424]; basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]","axon guidance receptor activity [GO:0008046]; calcium ion binding [GO:0005509]"
"Pocillopora_acuta_HIv2___TS.g11006.t1",1,"Other",NA,FALSE,NA,NA,NA,NA,"ME9",0.461180852380073,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g28225.t1",1,"Other",NA,FALSE,NA,NA,NA,NA,"ME9",0.477425090447087,FALSE,0,1,0,TRUE,FALSE,FALSE,"P10273",1.2e-12,"Gag-Pol polyprotein [Cleaved into: Matrix protein p15; RNA-binding phosphoprotein p12 (pp12); Capsid protein p30; Nucleocapsid protein p10-Pol (NC-pol); Protease (EC 3.4.23.-); Reverse transcriptase/ribonuclease H (RT) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]","DNA integration [GO:0015074]; DNA recombination [GO:0006310]; establishment of integrated proviral latency [GO:0075713]; proteolysis [GO:0006508]; symbiont entry into host cell [GO:0046718]; viral genome integration into host DNA [GO:0044826]; virion assembly [GO:0019068]","GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0006310; GO:0006508; GO:0008270; GO:0015074; GO:0016020; GO:0019013; GO:0019068; GO:0020002; GO:0039660; GO:0044185; GO:0044826; GO:0046718; GO:0072494; GO:0075713","host cell late endosome membrane [GO:0044185]; host cell plasma membrane [GO:0020002]; host multivesicular body [GO:0072494]; membrane [GO:0016020]; viral nucleocapsid [GO:0019013]","aspartic-type endopeptidase activity [GO:0004190]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; structural constituent of virion [GO:0039660]; zinc ion binding [GO:0008270]"
"Pocillopora_acuta_HIv2___RNAseq.g28373.t1",0.13962664934378,"Other",NA,FALSE,NA,NA,NA,NA,"ME1",0.373579756785587,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g28392.t1",0.226501219415419,"Other",NA,FALSE,NA,NA,NA,NA,"ME0",0.239281218757871,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___TS.g11293.t3",0.893496525109785,"Other",NA,FALSE,NA,NA,NA,NA,"ME6",0.409925163208833,FALSE,0,0,0,FALSE,FALSE,FALSE,"P42674",7.19e-43,"Blastula protease 10 (EC 3.4.24.-)","proteolysis [GO:0006508]","GO:0004222; GO:0005576; GO:0005938; GO:0006508; GO:0008270; GO:0048471","cell cortex [GO:0005938]; extracellular region [GO:0005576]; perinuclear region of cytoplasm [GO:0048471]","metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]"
"Pocillopora_acuta_HIv2___RNAseq.g28522.t1",0.315794636533107,"Other",NA,FALSE,NA,NA,NA,NA,"ME11",0.649951712265037,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g28551.t1a",0.210845289418916,"Other",NA,FALSE,NA,NA,NA,NA,"ME3",0.537593966331994,FALSE,0,0,0,FALSE,FALSE,FALSE,"Q09575",2.7e-10,"Uncharacterized protein K02A2.6","DNA integration [GO:0015074]","GO:0003676; GO:0005737; GO:0008270; GO:0015074; GO:0019899; GO:0042575","cytoplasm [GO:0005737]; DNA polymerase complex [GO:0042575]","enzyme binding [GO:0019899]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]"
"Pocillopora_acuta_HIv2___RNAseq.g27398.t1",0.0668943585154615,"Monotonous",NA,FALSE,NA,NA,NA,NA,"ME1",0.748472658935851,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27399.t1",0.111096025330795,"Other",NA,FALSE,NA,NA,NA,NA,"ME9",0.306913503107362,FALSE,0,0,0,FALSE,FALSE,FALSE,"O57382",1.05e-16,"Tolloid-like protein 2 (EC 3.4.24.-) (Metalloprotease xolloid) (Xenopus tolloid)","cell differentiation [GO:0030154]; proteolysis [GO:0006508]","GO:0004222; GO:0005509; GO:0005576; GO:0006508; GO:0008270; GO:0030154","extracellular region [GO:0005576]","calcium ion binding [GO:0005509]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]"
"Pocillopora_acuta_HIv2___RNAseq.g27400.t1",0.000229091071300737,"Transient","transient_down",TRUE,1,0.947968620347661,TRUE,"Early Dip (3h)","ME2",0.83430462425816,FALSE,1,0,0,FALSE,TRUE,FALSE,"P98063",2.93e-55,"Bone morphogenetic protein 1 (BMP-1) (EC 3.4.24.19) (Mammalian tolloid protein) (mTld) (Procollagen C-proteinase) (PCP)","cartilage development [GO:0051216]; cell differentiation [GO:0030154]; ossification [GO:0001503]; positive regulation of cartilage development [GO:0061036]; proteolysis [GO:0006508]","GO:0001503; GO:0004222; GO:0005125; GO:0005509; GO:0005615; GO:0005794; GO:0006508; GO:0008083; GO:0008233; GO:0008270; GO:0030154; GO:0031982; GO:0042802; GO:0051216; GO:0061036; GO:0062023","collagen-containing extracellular matrix [GO:0062023]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; vesicle [GO:0031982]","calcium ion binding [GO:0005509]; cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; identical protein binding [GO:0042802]; metalloendopeptidase activity [GO:0004222]; peptidase activity [GO:0008233]; zinc ion binding [GO:0008270]"
"Pocillopora_acuta_HIv2___TS.g10157.t2",3.14151414759456e-08,"Transient","transient_down",TRUE,1,0.928530760567852,TRUE,"Early Dip (3h)","ME12",0.750252479059236,FALSE,1,0,0,FALSE,TRUE,FALSE,"Q9WVM6",4.33e-36,"Tolloid-like protein 2 (EC 3.4.24.-)","cell differentiation [GO:0030154]; negative regulation of skeletal muscle tissue growth [GO:0048632]; proteolysis [GO:0006508]","GO:0004222; GO:0005509; GO:0005576; GO:0006508; GO:0008270; GO:0030154; GO:0048632","extracellular region [GO:0005576]","calcium ion binding [GO:0005509]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]"
"Pocillopora_acuta_HIv2___RNAseq.g27403.t1",0.315831090371483,"Transient",NA,FALSE,NA,NA,NA,NA,"ME2",0.657406868445085,FALSE,0,0,0,FALSE,FALSE,FALSE,"O57382",4.09e-29,"Tolloid-like protein 2 (EC 3.4.24.-) (Metalloprotease xolloid) (Xenopus tolloid)","cell differentiation [GO:0030154]; proteolysis [GO:0006508]","GO:0004222; GO:0005509; GO:0005576; GO:0006508; GO:0008270; GO:0030154","extracellular region [GO:0005576]","calcium ion binding [GO:0005509]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]"
"Pocillopora_acuta_HIv2___TS.g10159.t1",0.0312914184511806,"Other","unclassified",TRUE,4,0.421890629477256,FALSE,"Sustained Up (3h)","ME1",0.433325621291854,FALSE,0,0,0,FALSE,FALSE,FALSE,"Q9WVM6",1.43e-12,"Tolloid-like protein 2 (EC 3.4.24.-)","cell differentiation [GO:0030154]; negative regulation of skeletal muscle tissue growth [GO:0048632]; proteolysis [GO:0006508]","GO:0004222; GO:0005509; GO:0005576; GO:0006508; GO:0008270; GO:0030154; GO:0048632","extracellular region [GO:0005576]","calcium ion binding [GO:0005509]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]"
"Pocillopora_acuta_HIv2___RNAseq.g27405.t1",5.16238616242098e-12,"Transient","transient_up",TRUE,2,0.769336724127741,TRUE,"Early Peak (3h)","ME3",0.218433402557552,FALSE,0,1,0,TRUE,FALSE,FALSE,"O57382",1.14e-32,"Tolloid-like protein 2 (EC 3.4.24.-) (Metalloprotease xolloid) (Xenopus tolloid)","cell differentiation [GO:0030154]; proteolysis [GO:0006508]","GO:0004222; GO:0005509; GO:0005576; GO:0006508; GO:0008270; GO:0030154","extracellular region [GO:0005576]","calcium ion binding [GO:0005509]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]"
"Pocillopora_acuta_HIv2___RNAseq.g27406.t1",8.46196161574403e-07,"Monotonous","transition_down",TRUE,3,0.940492495520403,TRUE,"Sustained Down (3h)","ME4",0.710685997118109,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27407.t1",0.81740961616938,"Other",NA,FALSE,NA,NA,NA,NA,"ME4",0.598074880409506,FALSE,0,0,0,FALSE,FALSE,FALSE,"Q32LE3",5.87e-99,"Centrin-1","cell division [GO:0051301]; centriole replication [GO:0007099]; microtubule cytoskeleton organization [GO:0000226]","GO:0000226; GO:0000922; GO:0005509; GO:0005634; GO:0005737; GO:0005813; GO:0005814; GO:0007099; GO:0051301","centriole [GO:0005814]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle pole [GO:0000922]","calcium ion binding [GO:0005509]"
"Pocillopora_acuta_HIv2___TS.g10164.t1",0.489326964232391,"Other",NA,FALSE,NA,NA,NA,NA,"ME4",0.497248685473589,FALSE,0,1,0,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Pocillopora_acuta_HIv2___RNAseq.g27408.t1",0.920554977780744,"Other",NA,FALSE,NA,NA,NA,NA,"ME11",0.516900019191651,FALSE,1,0,0,FALSE,TRUE,FALSE,"Q9NP95",2.2e-18,"Fibroblast growth factor 20 (FGF-20)","cell-cell signaling [GO:0007267]; fibroblast growth factor receptor signaling pathway [GO:0008543]; inner ear auditory receptor cell differentiation [GO:0042491]; negative regulation of neuron apoptotic process [GO:0043524]; neurogenesis [GO:0022008]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of dopaminergic neuron differentiation [GO:1904340]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of MAPK cascade [GO:0043410]; regulation of cardiac muscle cell proliferation [GO:0060043]; regulation of cell migration [GO:0030334]; regulation of dopamine secretion [GO:0014059]; signal transduction [GO:0007165]","GO:0005102; GO:0005104; GO:0005576; GO:0005615; GO:0005737; GO:0007165; GO:0007267; GO:0008083; GO:0008284; GO:0008543; GO:0014059; GO:0022008; GO:0030334; GO:0042491; GO:0043395; GO:0043410; GO:0043524; GO:0060043; GO:0070374; GO:0090722; GO:1904340","cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]","fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]; heparan sulfate proteoglycan binding [GO:0043395]; receptor-receptor interaction [GO:0090722]; signaling receptor binding [GO:0005102]"
"Pocillopora_acuta_HIv2___RNAseq.g27409.t1",0.0375601055383762,"Other","unclassified",TRUE,4,0.644462483933216,TRUE,"Sustained Up (3h)","ME8",0.896948941523995,TRUE,0,0,0,FALSE,FALSE,FALSE,"Q9XVI9",1.3e-31,"Myosin-2 essential light chain","mitotic cytokinesis [GO:0000281]","GO:0000281; GO:0005509; GO:0005737; GO:0015629; GO:0016460","actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; myosin II complex [GO:0016460]","calcium ion binding [GO:0005509]"
"Pocillopora_acuta_HIv2___RNAseq.g27410.t1",0.000772012467944128,"Monotonous","transition_up",TRUE,4,0.666658524102167,TRUE,"Sustained Up (3h)","ME1",0.718653072152999,FALSE,1,0,0,FALSE,TRUE,FALSE,"Q498J9",3.86e-55,"Metallo-beta-lactamase domain-containing protein 1 (EC 3.1.27.-) (Endoribonuclease MBLAC1)","histone mRNA metabolic process [GO:0008334]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]","GO:0004521; GO:0005634; GO:0005737; GO:0005829; GO:0008334; GO:0046872; GO:1900087","cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]","metal ion binding [GO:0046872]; RNA endonuclease activity [GO:0004521]"
"Pocillopora_acuta_HIv2___RNAseq.g27411.t1",0.94188014006915,"Other",NA,FALSE,NA,NA,NA,NA,"ME8",0.773941424742709,FALSE,0,0,0,FALSE,FALSE,FALSE,"Q5XJK1",3.47e-30,"Short coiled-coil protein B","positive regulation of macroautophagy [GO:0016239]; regulation of protein complex stability [GO:0061635]","GO:0000139; GO:0005829; GO:0016239; GO:0061635","cytosol [GO:0005829]; Golgi membrane [GO:0000139]",""
"Pocillopora_acuta_HIv2___TS.g10169.t1",0.275785971044562,"Other",NA,FALSE,NA,NA,NA,NA,"ME10",0.734616089419786,FALSE,0,0,0,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
