species,t_hours,treatment,day,time,type,Tank,fragment_name,Plug #,Notes,Extraction_Date,Extraction_Notes,RNA_Extraction_Status,DNA_QBIT_1,DNA_QBIT_2,DNA_QBIT_AVG,RNA_QBIT_1,RNA_QBIT_2,RNA_QBIT_AVG,Vol_in_tube,ng_RNA_total,Lab_Notebook_Link
MON,72,heat,"Sat, Jul 5",9:00 AM,bulk_rna,Tank_3,MON_R72_H2,2068,very bleached,,,,,,,,,,,,
MON,72,control,"Sat, Jul 5",9:00 AM,bulk_rna,Tank_6,MON_R72_C3,1724,,,,,,,,,,,,,
MON,72,control,"Sat, Jul 5",9:00 AM,bulk_rna,Tank_1,MON_R72_C1,1687,,,,,,,,,,,,,
MON,72,heat,"Sat, Jul 5",9:00 AM,bulk_rna,Tank_2,MON_R72_H1,2182,bleached,,,,,,,,,,,,
MON,72,heat,"Sat, Jul 5",9:00 AM,bulk_rna,Tank_5,MON_R72_H3,1596,,,,,,,,,,,,,
MON,120,heat,"Mon, Jul 7",9:00 AM,bulk_rna,Tank_5,MON_R120_H3,1636,,,,,,,,,,,,,
MON,120,heat,"Mon, Jul 7",9:00 AM,bulk_rna,Tank_3,MON_R120_H2,2512,,,,,,,,,,,,,
MON,120,control,"Mon, Jul 7",9:00 AM,bulk_rna,Tank_4,MON_R120_C2,1182,,,,,,,,,,,,,
MON,120,heat,"Mon, Jul 7",9:00 AM,bulk_rna,Tank_2,MON_R120_H1,1607,,,,,,,,,,,,,
MON,120,control,"Mon, Jul 7",9:00 AM,bulk_rna,Tank_6,MON_R120_C3,2736,,,,,,,,,,,,,
MON,120,control,"Mon, Jul 7",9:00 AM,bulk_rna,Tank_1,MON_R120_C1,1582,,,,,,,,,,,,,
