query,gene_set,Bhattacharya_ID,blast_hit,evalue,ProteinNames,BiologicalProcess,GOs,CellularComponent,MolecularFunction,short_name
Porites_compressa_HIv1___RNAseq.20966_t,TRP,,Q8TEL6,3.44e-158,Short transient receptor potential channel 4-associated protein (Trp4-associated protein) (Trpc4-associated protein) (Protein TAP1) (TNF-receptor ubiquitous scaffolding/signaling protein) (Protein TRUSS),calcium ion transmembrane transport [GO:0070588]; hair follicle maturation [GO:0048820]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]; ubiquitin-dependent protein catabolic process via the C-end degron rule pathway [GO:0140627],GO:0005262; GO:0005829; GO:0005886; GO:0006511; GO:0016567; GO:0019902; GO:0031464; GO:0048471; GO:0048820; GO:0070588; GO:0080008; GO:0140627; GO:1990756,Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; Cul4A-RING E3 ubiquitin ligase complex [GO:0031464]; cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886],calcium channel activity [GO:0005262]; phosphatase binding [GO:0019902]; ubiquitin-like ligase-substrate adaptor activity [GO:1990756],Short transient receptor potential channel 4-associated protein
Porites_compressa_HIv1___RNAseq.2240_t,TRP,,Q18297,8.12e-159,Transient receptor potential cation channel subfamily A member 1 homolog,,GO:0005216; GO:0005886; GO:0043025; GO:0097730,neuronal cell body [GO:0043025]; non-motile cilium [GO:0097730]; plasma membrane [GO:0005886],monoatomic ion channel activity [GO:0005216],Transient receptor potential cation channel subfamily A member 1 homolog
Porites_compressa_HIv1___RNAseq.27359_t,SLC,,Q9NRA2,1.18e-149,Sialin (H(+)/nitrate cotransporter) (H(+)/sialic acid cotransporter) (AST) (Membrane glycoprotein HP59) (Solute carrier family 17 member 5) (Vesicular excitatory amino acid transporter) (VEAT),amino acid transport [GO:0006865]; monoatomic anion transport [GO:0006820]; monoatomic ion transport [GO:0006811]; neurotransmitter loading into synaptic vesicle [GO:0098700]; response to bacterium [GO:0009617]; sialic acid transport [GO:0015739],GO:0005351; GO:0005764; GO:0005765; GO:0005829; GO:0005886; GO:0006811; GO:0006820; GO:0006865; GO:0009617; GO:0015136; GO:0015538; GO:0015739; GO:0016020; GO:0016323; GO:0016324; GO:0030672; GO:0042880; GO:0098700; GO:0098978,apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; plasma membrane [GO:0005886]; synaptic vesicle membrane [GO:0030672],carbohydrate:proton symporter activity [GO:0005351]; D-glucuronate transmembrane transporter activity [GO:0042880]; sialic acid transmembrane transporter activity [GO:0015136]; sialic acid:proton symporter activity [GO:0015538],Sialin
Porites_compressa_HIv1___RNAseq.30279_t,SLC,,Q5FWH7,2.75e-75,Zinc transporter ZIP12 (Solute carrier family 39 member 12) (Zrt- and Irt-like protein 12) (ZIP-12),neural tube formation [GO:0001841]; neuron projection extension [GO:1990138]; regulation of microtubule polymerization [GO:0031113]; regulation of neuron projection development [GO:0010975]; signal transduction [GO:0007165]; zinc ion import across plasma membrane [GO:0071578],GO:0001841; GO:0005385; GO:0005886; GO:0007165; GO:0010975; GO:0031113; GO:0048471; GO:0071578; GO:1990138,perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886],zinc ion transmembrane transporter activity [GO:0005385],Zinc transporter ZIP12
Porites_compressa_HIv1___RNAseq.30538_t,SLC,,A1L1W9,3.08e-75,Monocarboxylate transporter 10 (MCT 10) (Solute carrier family 16 member 10),aromatic amino acid transport [GO:0015801]; thyroid hormone transport [GO:0070327],GO:0005302; GO:0005886; GO:0015173; GO:0015192; GO:0015196; GO:0015349; GO:0015801; GO:0016323; GO:0022857; GO:0070327,basolateral plasma membrane [GO:0016323]; plasma membrane [GO:0005886],aromatic amino acid transmembrane transporter activity [GO:0015173]; L-phenylalanine transmembrane transporter activity [GO:0015192]; L-tryptophan transmembrane transporter activity [GO:0015196]; L-tyrosine transmembrane transporter activity [GO:0005302]; thyroid hormone transmembrane transporter activity [GO:0015349]; transmembrane transporter activity [GO:0022857],Monocarboxylate transporter 10
Porites_compressa_HIv1___RNAseq.30573_t,SLC,,P31597,6.61e-124,Excitatory amino acid transporter 3 (Excitatory amino-acid carrier 1) (Sodium-dependent glutamate/aspartate transporter 3) (Solute carrier family 1 member 1),chloride transmembrane transport [GO:1902476]; cysteine transport [GO:0042883]; D-aspartate import across plasma membrane [GO:0070779]; L-aspartate import across plasma membrane [GO:0140009]; L-glutamate import across plasma membrane [GO:0098712]; L-glutamate transmembrane transport [GO:0015813],GO:0005313; GO:0005314; GO:0005886; GO:0015108; GO:0015501; GO:0015813; GO:0016324; GO:0031901; GO:0031902; GO:0033229; GO:0042883; GO:0043005; GO:0045202; GO:0046872; GO:0055038; GO:0070779; GO:0098712; GO:0140009; GO:1902476,apical plasma membrane [GO:0016324]; early endosome membrane [GO:0031901]; late endosome membrane [GO:0031902]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]; synapse [GO:0045202],chloride transmembrane transporter activity [GO:0015108]; cysteine transmembrane transporter activity [GO:0033229]; glutamate:sodium symporter activity [GO:0015501]; high-affinity L-glutamate transmembrane transporter activity [GO:0005314]; L-glutamate transmembrane transporter activity [GO:0005313]; metal ion binding [GO:0046872],Excitatory amino acid transporter 3
Porites_compressa_HIv1___RNAseq.31225_t,TRP,,O75762,3.66e-128,Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Transformation-sensitive protein p120) (p120) (Wasabi receptor),calcium ion transmembrane import into cytosol [GO:0097553]; calcium ion transmembrane transport [GO:0070588]; cell surface receptor signaling pathway [GO:0007166]; cellular response to caffeine [GO:0071313]; cellular response to carbon dioxide [GO:0071244]; cellular response to cold [GO:0070417]; cellular response to food [GO:0071240]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to toxic substance [GO:0097237]; detection of chemical stimulus involved in sensory perception of pain [GO:0050968]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; intracellular calcium ion homeostasis [GO:0006874]; monoatomic ion transport [GO:0006811]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of monoatomic anion transport [GO:1903793]; protein homotetramerization [GO:0051289]; regulation of blood circulation [GO:1903522]; regulation of neuronal action potential [GO:0098908]; response to cold [GO:0009409]; response to pain [GO:0048265]; response to xenobiotic stimulus [GO:0009410]; sensory perception of pain [GO:0019233]; thermoception [GO:0050955]; urinary bladder smooth muscle contraction [GO:0014832],GO:0005245; GO:0005262; GO:0005886; GO:0006811; GO:0006874; GO:0007166; GO:0009409; GO:0009410; GO:0014832; GO:0015267; GO:0015278; GO:0016324; GO:0019233; GO:0030424; GO:0032421; GO:0034605; GO:0035774; GO:0042802; GO:0048265; GO:0050955; GO:0050966; GO:0050968; GO:0051289; GO:0070301; GO:0070417; GO:0070588; GO:0071240; GO:0071244; GO:0071313; GO:0097237; GO:0097553; GO:0097604; GO:0098908; GO:1903522; GO:1903793; GO:1990760,apical plasma membrane [GO:0016324]; axon [GO:0030424]; plasma membrane [GO:0005886]; stereocilium bundle [GO:0032421],calcium channel activity [GO:0005262]; channel activity [GO:0015267]; identical protein binding [GO:0042802]; intracellularly gated calcium channel activity [GO:0015278]; osmolarity-sensing monoatomic cation channel activity [GO:1990760]; temperature-gated cation channel activity [GO:0097604]; voltage-gated calcium channel activity [GO:0005245],Transient receptor potential cation channel subfamily A member 1
Porites_compressa_HIv1___RNAseq.31902_t,SLC,,Q9DBP0,0,Sodium-dependent phosphate transport protein 2B (Sodium-phosphate transport protein 2B) (Na(+)-dependent phosphate cotransporter 2B) (Sodium/phosphate cotransporter 2B) (Na(+)/Pi cotransporter 2B) (NaPi-2b) (Solute carrier family 34 member 2),in utero embryonic development [GO:0001701]; intracellular phosphate ion homeostasis [GO:0030643]; phosphate ion transport [GO:0006817]; response to estrogen [GO:0043627]; sodium-dependent phosphate transport [GO:0044341],GO:0001701; GO:0005436; GO:0005903; GO:0006817; GO:0016324; GO:0030643; GO:0031402; GO:0042301; GO:0043627; GO:0044341,apical plasma membrane [GO:0016324]; brush border [GO:0005903],phosphate ion binding [GO:0042301]; sodium ion binding [GO:0031402]; sodium:phosphate symporter activity [GO:0005436],Sodium-dependent phosphate transport protein 2B
Porites_compressa_HIv1___RNAseq.33850_t,calcium,,Q99572,8.69e-11,P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor),apoptotic signaling pathway [GO:0097190]; bleb assembly [GO:0032060]; calcium ion transmembrane transport [GO:0070588]; calcium-mediated signaling [GO:0019722]; cell morphogenesis [GO:0000902]; cell surface receptor signaling pathway [GO:0007166]; cellular response to ATP [GO:0071318]; cellular response to dsRNA [GO:0071359]; ceramide biosynthetic process [GO:0046513]; collagen metabolic process [GO:0032963]; defense response to Gram-positive bacterium [GO:0050830]; extrinsic apoptotic signaling pathway [GO:0097191]; gamma-aminobutyric acid secretion [GO:0014051]; glutamate secretion [GO:0014047]; homeostasis of number of cells within a tissue [GO:0048873]; inflammatory response [GO:0006954]; MAPK cascade [GO:0000165]; membrane depolarization [GO:0051899]; membrane protein ectodomain proteolysis [GO:0006509]; mitochondrial depolarization [GO:0051882]; mitochondrion organization [GO:0007005]; NAD transport [GO:0043132]; negative regulation of bone resorption [GO:0045779]; negative regulation of cell volume [GO:0045794]; negative regulation of MAPK cascade [GO:0043409]; phagolysosome assembly [GO:0001845]; phospholipid transfer to membrane [GO:0006649]; plasma membrane phospholipid scrambling [GO:0017121]; pore complex assembly [GO:0046931]; positive regulation of bleb assembly [GO:1904172]; positive regulation of bone mineralization [GO:0030501]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of cytoskeleton organization [GO:0051495]; positive regulation of gamma-aminobutyric acid secretion [GO:0014054]; positive regulation of gene expression [GO:0010628]; positive regulation of glutamate secretion [GO:0014049]; positive regulation of glycolytic process [GO:0045821]; positive regulation of interleukin-1 alpha production [GO:0032730]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mitochondrial depolarization [GO:0051901]; positive regulation of monoatomic ion transmembrane transport [GO:0034767]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of prostaglandin secretion [GO:0032308]; positive regulation of protein secretion [GO:0050714]; positive regulation of T cell apoptotic process [GO:0070234]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; prostaglandin secretion [GO:0032310]; protein catabolic process [GO:0030163]; protein homotrimerization [GO:0070207]; protein processing [GO:0016485]; protein secretion [GO:0009306]; purinergic nucleotide receptor signaling pathway [GO:0035590]; reactive oxygen species metabolic process [GO:0072593]; regulation of sodium ion transport [GO:0002028]; release of sequestered calcium ion into cytosol [GO:0051209]; response to ATP [GO:0033198]; response to calcium ion [GO:0051592]; response to electrical stimulus [GO:0051602]; response to fluid shear stress [GO:0034405]; response to ischemia [GO:0002931]; response to lipopolysaccharide [GO:0032496]; response to mechanical stimulus [GO:0009612]; response to xenobiotic stimulus [GO:0009410]; response to zinc ion [GO:0010043]; sensory perception of pain [GO:0019233]; skeletal system morphogenesis [GO:0048705]; synaptic vesicle exocytosis [GO:0016079]; T cell apoptotic process [GO:0070231]; T cell homeostasis [GO:0043029]; T cell mediated cytotoxicity [GO:0001913]; T cell proliferation [GO:0042098]; vesicle budding from membrane [GO:0006900],GO:0000165; GO:0000902; GO:0001530; GO:0001614; GO:0001845; GO:0001913; GO:0001916; GO:0002028; GO:0002931; GO:0004931; GO:0005102; GO:0005216; GO:0005267; GO:0005272; GO:0005524; GO:0005737; GO:0005739; GO:0005886; GO:0005911; GO:0006509; GO:0006649; GO:0006900; GO:0006954; GO:0007005; GO:0007166; GO:0009306; GO:0009410; GO:0009612; GO:0009897; GO:0010043; GO:0010524; GO:0010628; GO:0014047; GO:0014049; GO:0014051; GO:0014054; GO:0016020; GO:0016079; GO:0016485; GO:0017121; GO:0019233; GO:0019722; GO:0030163; GO:0030501; GO:0031594; GO:0032059; GO:0032060; GO:0032308; GO:0032310; GO:0032496; GO:0032730; GO:0032731; GO:0032755; GO:0032963; GO:0033198; GO:0034405; GO:0034767; GO:0035590; GO:0042098; GO:0042802; GO:0043025; GO:0043029; GO:0043132; GO:0043409; GO:0043410; GO:0045779; GO:0045794; GO:0045821; GO:0046513; GO:0046931; GO:0048705; GO:0048873; GO:0050714; GO:0050830; GO:0051209; GO:0051495; GO:0051592; GO:0051602; GO:0051882; GO:0051899; GO:0051901; GO:0060907; GO:0070207; GO:0070231; GO:0070234; GO:0070588; GO:0071318; GO:0071359; GO:0072593; GO:0097190; GO:0097191; GO:0098793; GO:0098794; GO:1900227; GO:1904172,bleb [GO:0032059]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; membrane [GO:0016020]; mitochondrion [GO:0005739]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynapse [GO:0098793],ATP binding [GO:0005524]; extracellularly ATP-gated monoatomic cation channel activity [GO:0004931]; identical protein binding [GO:0042802]; lipopolysaccharide binding [GO:0001530]; monoatomic ion channel activity [GO:0005216]; potassium channel activity [GO:0005267]; purinergic nucleotide receptor activity [GO:0001614]; signaling receptor binding [GO:0005102]; sodium channel activity [GO:0005272],P2X purinoceptor 7
Porites_compressa_HIv1___RNAseq.34517_t,calcium,,Q99572,4.73e-8,P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor),apoptotic signaling pathway [GO:0097190]; bleb assembly [GO:0032060]; calcium ion transmembrane transport [GO:0070588]; calcium-mediated signaling [GO:0019722]; cell morphogenesis [GO:0000902]; cell surface receptor signaling pathway [GO:0007166]; cellular response to ATP [GO:0071318]; cellular response to dsRNA [GO:0071359]; ceramide biosynthetic process [GO:0046513]; collagen metabolic process [GO:0032963]; defense response to Gram-positive bacterium [GO:0050830]; extrinsic apoptotic signaling pathway [GO:0097191]; gamma-aminobutyric acid secretion [GO:0014051]; glutamate secretion [GO:0014047]; homeostasis of number of cells within a tissue [GO:0048873]; inflammatory response [GO:0006954]; MAPK cascade [GO:0000165]; membrane depolarization [GO:0051899]; membrane protein ectodomain proteolysis [GO:0006509]; mitochondrial depolarization [GO:0051882]; mitochondrion organization [GO:0007005]; NAD transport [GO:0043132]; negative regulation of bone resorption [GO:0045779]; negative regulation of cell volume [GO:0045794]; negative regulation of MAPK cascade [GO:0043409]; phagolysosome assembly [GO:0001845]; phospholipid transfer to membrane [GO:0006649]; plasma membrane phospholipid scrambling [GO:0017121]; pore complex assembly [GO:0046931]; positive regulation of bleb assembly [GO:1904172]; positive regulation of bone mineralization [GO:0030501]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of cytoskeleton organization [GO:0051495]; positive regulation of gamma-aminobutyric acid secretion [GO:0014054]; positive regulation of gene expression [GO:0010628]; positive regulation of glutamate secretion [GO:0014049]; positive regulation of glycolytic process [GO:0045821]; positive regulation of interleukin-1 alpha production [GO:0032730]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mitochondrial depolarization [GO:0051901]; positive regulation of monoatomic ion transmembrane transport [GO:0034767]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of prostaglandin secretion [GO:0032308]; positive regulation of protein secretion [GO:0050714]; positive regulation of T cell apoptotic process [GO:0070234]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; prostaglandin secretion [GO:0032310]; protein catabolic process [GO:0030163]; protein homotrimerization [GO:0070207]; protein processing [GO:0016485]; protein secretion [GO:0009306]; purinergic nucleotide receptor signaling pathway [GO:0035590]; reactive oxygen species metabolic process [GO:0072593]; regulation of sodium ion transport [GO:0002028]; release of sequestered calcium ion into cytosol [GO:0051209]; response to ATP [GO:0033198]; response to calcium ion [GO:0051592]; response to electrical stimulus [GO:0051602]; response to fluid shear stress [GO:0034405]; response to ischemia [GO:0002931]; response to lipopolysaccharide [GO:0032496]; response to mechanical stimulus [GO:0009612]; response to xenobiotic stimulus [GO:0009410]; response to zinc ion [GO:0010043]; sensory perception of pain [GO:0019233]; skeletal system morphogenesis [GO:0048705]; synaptic vesicle exocytosis [GO:0016079]; T cell apoptotic process [GO:0070231]; T cell homeostasis [GO:0043029]; T cell mediated cytotoxicity [GO:0001913]; T cell proliferation [GO:0042098]; vesicle budding from membrane [GO:0006900],GO:0000165; GO:0000902; GO:0001530; GO:0001614; GO:0001845; GO:0001913; GO:0001916; GO:0002028; GO:0002931; GO:0004931; GO:0005102; GO:0005216; GO:0005267; GO:0005272; GO:0005524; GO:0005737; GO:0005739; GO:0005886; GO:0005911; GO:0006509; GO:0006649; GO:0006900; GO:0006954; GO:0007005; GO:0007166; GO:0009306; GO:0009410; GO:0009612; GO:0009897; GO:0010043; GO:0010524; GO:0010628; GO:0014047; GO:0014049; GO:0014051; GO:0014054; GO:0016020; GO:0016079; GO:0016485; GO:0017121; GO:0019233; GO:0019722; GO:0030163; GO:0030501; GO:0031594; GO:0032059; GO:0032060; GO:0032308; GO:0032310; GO:0032496; GO:0032730; GO:0032731; GO:0032755; GO:0032963; GO:0033198; GO:0034405; GO:0034767; GO:0035590; GO:0042098; GO:0042802; GO:0043025; GO:0043029; GO:0043132; GO:0043409; GO:0043410; GO:0045779; GO:0045794; GO:0045821; GO:0046513; GO:0046931; GO:0048705; GO:0048873; GO:0050714; GO:0050830; GO:0051209; GO:0051495; GO:0051592; GO:0051602; GO:0051882; GO:0051899; GO:0051901; GO:0060907; GO:0070207; GO:0070231; GO:0070234; GO:0070588; GO:0071318; GO:0071359; GO:0072593; GO:0097190; GO:0097191; GO:0098793; GO:0098794; GO:1900227; GO:1904172,bleb [GO:0032059]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; membrane [GO:0016020]; mitochondrion [GO:0005739]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynapse [GO:0098793],ATP binding [GO:0005524]; extracellularly ATP-gated monoatomic cation channel activity [GO:0004931]; identical protein binding [GO:0042802]; lipopolysaccharide binding [GO:0001530]; monoatomic ion channel activity [GO:0005216]; potassium channel activity [GO:0005267]; purinergic nucleotide receptor activity [GO:0001614]; signaling receptor binding [GO:0005102]; sodium channel activity [GO:0005272],P2X purinoceptor 7
