gene_set,query,blast_hit,evalue,ProteinNames,BiologicalProcess,GOs,CellularComponent,MolecularFunction
TRP,Montipora_capitata_HIv3___TS.g44720.t1,Q9R244,6.97e-18,Short transient receptor potential channel 2 (TrpC2) (Transient receptor protein 2) (TRP-2) (mTrp2),"acrosome reaction [GO:0007340]; aggressive behavior [GO:0002118]; calcium ion transport [GO:0006816]; female courtship behavior [GO:0008050]; inter-male aggressive behavior [GO:0002121]; mating behavior, sex discrimination [GO:0048047]; negative regulation of male mating behavior [GO:1902436]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; regulation of gene expression [GO:0010468]; response to pheromone [GO:0019236]; single strand break repair [GO:0000012]; territorial aggressive behavior [GO:0002124]",GO:0000012; GO:0000139; GO:0002118; GO:0002121; GO:0002124; GO:0003684; GO:0005516; GO:0005634; GO:0005635; GO:0005789; GO:0005886; GO:0006816; GO:0007204; GO:0007340; GO:0008050; GO:0010468; GO:0012505; GO:0015279; GO:0019236; GO:0019992; GO:0032590; GO:0048047; GO:0070679; GO:1902436,dendrite membrane [GO:0032590]; endomembrane system [GO:0012505]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; plasma membrane [GO:0005886],"calmodulin binding [GO:0005516]; damaged DNA binding [GO:0003684]; diacylglycerol binding [GO:0019992]; inositol 1,4,5 trisphosphate binding [GO:0070679]; store-operated calcium channel activity [GO:0015279]"
TRP,Montipora_capitata_HIv3___RNAseq.g40851.t1,Q9MYV9,5.76e-41,Short transient receptor potential channel 5 (TrpC5),neuron apoptotic process [GO:0051402]; phosphatidylserine exposure on apoptotic cell surface [GO:0070782],GO:0005262; GO:0005886; GO:0051402; GO:0070782,plasma membrane [GO:0005886],calcium channel activity [GO:0005262]
TRP,Montipora_capitata_HIv3___RNAseq.g7370.t1,Q7Z020,2.35e-95,Transient receptor potential cation channel subfamily A member 1 (dTRPA1) (Ankyrin-like with transmembrane domains protein 1) (dANKTM1),calcium ion transport [GO:0006816]; cellular response to heat [GO:0034605]; cellular response to pulsatile fluid shear stress [GO:0097703]; detection of chemical stimulus involved in sensory perception of bitter taste [GO:0001580]; detection of chemical stimulus involved in sensory perception of pain [GO:0050968]; detection of hot stimulus involved in thermoception [GO:0120168]; detection of temperature stimulus involved in sensory perception of pain [GO:0050965]; detection of temperature stimulus involved in thermoception [GO:0050960]; mechanosensory behavior [GO:0007638]; monoatomic cation transmembrane transport [GO:0098655]; monoatomic cation transport [GO:0006812]; negative phototaxis [GO:0046957]; neuronal signal transduction [GO:0023041]; phototransduction [GO:0007602]; positive regulation of calcium-mediated signaling [GO:0050850]; response to heat [GO:0009408]; response to light stimulus [GO:0009416]; temperature compensation of the circadian clock [GO:0010378]; thermosensory behavior [GO:0040040]; thermotaxis [GO:0043052],GO:0001580; GO:0005261; GO:0005262; GO:0005886; GO:0006812; GO:0006816; GO:0007602; GO:0007638; GO:0009408; GO:0009416; GO:0010378; GO:0015276; GO:0016020; GO:0023041; GO:0034605; GO:0034703; GO:0040040; GO:0043052; GO:0046957; GO:0050850; GO:0050960; GO:0050965; GO:0050968; GO:0097604; GO:0097703; GO:0098655; GO:0120168,cation channel complex [GO:0034703]; membrane [GO:0016020]; plasma membrane [GO:0005886],calcium channel activity [GO:0005262]; ligand-gated monoatomic ion channel activity [GO:0015276]; monoatomic cation channel activity [GO:0005261]; temperature-gated cation channel activity [GO:0097604]
TRP,Montipora_capitata_HIv3___RNAseq.g43243.t1,A8DYE2,3.83e-89,"Transient receptor potential cation channel trpm (Transient receptor potential cation channel, subfamily M ortholog)",intracellular zinc ion homeostasis [GO:0006882]; magnesium ion homeostasis [GO:0010960]; metal ion transport [GO:0030001]; monoatomic cation transmembrane transport [GO:0098655]; protein tetramerization [GO:0051262],GO:0005261; GO:0005385; GO:0005886; GO:0006882; GO:0010960; GO:0022890; GO:0030001; GO:0034703; GO:0051262; GO:0097682; GO:0098655,cation channel complex [GO:0034703]; plasma membrane [GO:0005886],"inorganic cation transmembrane transporter activity [GO:0022890]; intracellularly phosphatidylinositol-3,5-bisphosphate-gated monatomic cation channel activity [GO:0097682]; monoatomic cation channel activity [GO:0005261]; zinc ion transmembrane transporter activity [GO:0005385]"
TRP,Montipora_capitata_HIv3___RNAseq.g33147.t1,Q18297,4.46e-142,Transient receptor potential cation channel subfamily A member 1 homolog,,GO:0005216; GO:0005886; GO:0043025; GO:0097730,neuronal cell body [GO:0043025]; non-motile cilium [GO:0097730]; plasma membrane [GO:0005886],monoatomic ion channel activity [GO:0005216]
TRP,Montipora_capitata_HIv3___RNAseq.g34435.t1,Q18297,2.61e-138,Transient receptor potential cation channel subfamily A member 1 homolog,,GO:0005216; GO:0005886; GO:0043025; GO:0097730,neuronal cell body [GO:0043025]; non-motile cilium [GO:0097730]; plasma membrane [GO:0005886],monoatomic ion channel activity [GO:0005216]
TRP,Montipora_capitata_HIv3___TS.g33157.t3,O35119,3.9e-12,Short transient receptor potential channel 4 (Trp4) (TrpC4) (Capacitative calcium entry channel 1) (CCE1),calcium ion import [GO:0070509]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; gamma-aminobutyric acid secretion [GO:0014051]; oligodendrocyte differentiation [GO:0048709]; positive regulation of store-operated calcium entry [GO:0106129]; regulation of action potential firing rate [GO:0099605]; regulation of calcium ion transport [GO:0051924]; regulation of cytosolic calcium ion concentration [GO:0051480],GO:0005262; GO:0005886; GO:0005901; GO:0005911; GO:0006816; GO:0008013; GO:0009986; GO:0014051; GO:0015279; GO:0016323; GO:0030863; GO:0032991; GO:0034703; GO:0034704; GO:0045121; GO:0045296; GO:0048709; GO:0051480; GO:0051924; GO:0070509; GO:0070588; GO:0070679; GO:0099605; GO:0106129,basolateral plasma membrane [GO:0016323]; calcium channel complex [GO:0034704]; cation channel complex [GO:0034703]; caveola [GO:0005901]; cell surface [GO:0009986]; cell-cell junction [GO:0005911]; cortical cytoskeleton [GO:0030863]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991],"beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; calcium channel activity [GO:0005262]; inositol 1,4,5 trisphosphate binding [GO:0070679]; store-operated calcium channel activity [GO:0015279]"
TRP,Montipora_capitata_HIv3___RNAseq.g40721.t1,Q9Y210,4.81e-89,Short transient receptor potential channel 6 (TrpC6) (Transient receptor protein 6) (TRP-6),calcium ion transmembrane transport [GO:0070588]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to hypoxia [GO:0071456]; monoatomic cation transport [GO:0006812]; negative regulation of dendrite morphogenesis [GO:0050774]; neuron differentiation [GO:0030182]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of ion transmembrane transporter activity [GO:0032414]; positive regulation of neuron differentiation [GO:0045666]; regulation of cytosolic calcium ion concentration [GO:0051480]; single fertilization [GO:0007338],GO:0003779; GO:0005261; GO:0005262; GO:0005737; GO:0005886; GO:0006812; GO:0007204; GO:0007338; GO:0015279; GO:0016020; GO:0030182; GO:0030276; GO:0032414; GO:0034703; GO:0036057; GO:0042803; GO:0042805; GO:0045666; GO:0050774; GO:0051117; GO:0051480; GO:0051928; GO:0070301; GO:0070588; GO:0070679; GO:0071456,cation channel complex [GO:0034703]; cytoplasm [GO:0005737]; membrane [GO:0016020]; plasma membrane [GO:0005886]; slit diaphragm [GO:0036057],"actin binding [GO:0003779]; actinin binding [GO:0042805]; ATPase binding [GO:0051117]; calcium channel activity [GO:0005262]; clathrin binding [GO:0030276]; inositol 1,4,5 trisphosphate binding [GO:0070679]; monoatomic cation channel activity [GO:0005261]; protein homodimerization activity [GO:0042803]; store-operated calcium channel activity [GO:0015279]"
TRP,Montipora_capitata_HIv3___TS.g18571.t2,O75762,5.86e-103,Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Transformation-sensitive protein p120) (p120) (Wasabi receptor),calcium ion transmembrane import into cytosol [GO:0097553]; calcium ion transmembrane transport [GO:0070588]; cell surface receptor signaling pathway [GO:0007166]; cellular response to caffeine [GO:0071313]; cellular response to carbon dioxide [GO:0071244]; cellular response to cold [GO:0070417]; cellular response to food [GO:0071240]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to toxic substance [GO:0097237]; detection of chemical stimulus involved in sensory perception of pain [GO:0050968]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; intracellular calcium ion homeostasis [GO:0006874]; monoatomic ion transport [GO:0006811]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of monoatomic anion transport [GO:1903793]; protein homotetramerization [GO:0051289]; regulation of blood circulation [GO:1903522]; regulation of neuronal action potential [GO:0098908]; response to cold [GO:0009409]; response to pain [GO:0048265]; response to xenobiotic stimulus [GO:0009410]; sensory perception of pain [GO:0019233]; thermoception [GO:0050955]; urinary bladder smooth muscle contraction [GO:0014832],GO:0005245; GO:0005262; GO:0005886; GO:0006811; GO:0006874; GO:0007166; GO:0009409; GO:0009410; GO:0014832; GO:0015267; GO:0015278; GO:0016324; GO:0019233; GO:0030424; GO:0032421; GO:0034605; GO:0035774; GO:0042802; GO:0048265; GO:0050955; GO:0050966; GO:0050968; GO:0051289; GO:0070301; GO:0070417; GO:0070588; GO:0071240; GO:0071244; GO:0071313; GO:0097237; GO:0097553; GO:0097604; GO:0098908; GO:1903522; GO:1903793; GO:1990760,apical plasma membrane [GO:0016324]; axon [GO:0030424]; plasma membrane [GO:0005886]; stereocilium bundle [GO:0032421],calcium channel activity [GO:0005262]; channel activity [GO:0015267]; identical protein binding [GO:0042802]; intracellularly gated calcium channel activity [GO:0015278]; osmolarity-sensing monoatomic cation channel activity [GO:1990760]; temperature-gated cation channel activity [GO:0097604]; voltage-gated calcium channel activity [GO:0005245]
TRP,Montipora_capitata_HIv3___RNAseq.g34072.t1,O75762,7.17e-129,Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Transformation-sensitive protein p120) (p120) (Wasabi receptor),calcium ion transmembrane import into cytosol [GO:0097553]; calcium ion transmembrane transport [GO:0070588]; cell surface receptor signaling pathway [GO:0007166]; cellular response to caffeine [GO:0071313]; cellular response to carbon dioxide [GO:0071244]; cellular response to cold [GO:0070417]; cellular response to food [GO:0071240]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to toxic substance [GO:0097237]; detection of chemical stimulus involved in sensory perception of pain [GO:0050968]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; intracellular calcium ion homeostasis [GO:0006874]; monoatomic ion transport [GO:0006811]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of monoatomic anion transport [GO:1903793]; protein homotetramerization [GO:0051289]; regulation of blood circulation [GO:1903522]; regulation of neuronal action potential [GO:0098908]; response to cold [GO:0009409]; response to pain [GO:0048265]; response to xenobiotic stimulus [GO:0009410]; sensory perception of pain [GO:0019233]; thermoception [GO:0050955]; urinary bladder smooth muscle contraction [GO:0014832],GO:0005245; GO:0005262; GO:0005886; GO:0006811; GO:0006874; GO:0007166; GO:0009409; GO:0009410; GO:0014832; GO:0015267; GO:0015278; GO:0016324; GO:0019233; GO:0030424; GO:0032421; GO:0034605; GO:0035774; GO:0042802; GO:0048265; GO:0050955; GO:0050966; GO:0050968; GO:0051289; GO:0070301; GO:0070417; GO:0070588; GO:0071240; GO:0071244; GO:0071313; GO:0097237; GO:0097553; GO:0097604; GO:0098908; GO:1903522; GO:1903793; GO:1990760,apical plasma membrane [GO:0016324]; axon [GO:0030424]; plasma membrane [GO:0005886]; stereocilium bundle [GO:0032421],calcium channel activity [GO:0005262]; channel activity [GO:0015267]; identical protein binding [GO:0042802]; intracellularly gated calcium channel activity [GO:0015278]; osmolarity-sensing monoatomic cation channel activity [GO:1990760]; temperature-gated cation channel activity [GO:0097604]; voltage-gated calcium channel activity [GO:0005245]
TRP,Montipora_capitata_HIv3___RNAseq.g29615.t1,Q8R4F0,2.15e-23,Mucolipin-3 (Transient receptor potential channel mucolipin 3) (TRPML3),inner ear auditory receptor cell differentiation [GO:0042491]; locomotory behavior [GO:0007626],GO:0000421; GO:0005253; GO:0005267; GO:0005272; GO:0005737; GO:0005886; GO:0007626; GO:0008289; GO:0031901; GO:0031902; GO:0042491; GO:0060171,autophagosome membrane [GO:0000421]; cytoplasm [GO:0005737]; early endosome membrane [GO:0031901]; late endosome membrane [GO:0031902]; plasma membrane [GO:0005886]; stereocilium membrane [GO:0060171],lipid binding [GO:0008289]; monoatomic anion channel activity [GO:0005253]; potassium channel activity [GO:0005267]; sodium channel activity [GO:0005272]
TRP,Montipora_capitata_HIv3___RNAseq.g29588.t1,Q9H1D0,1.34e-9,Transient receptor potential cation channel subfamily V member 6 (TrpV6) (CaT-like) (CaT-L) (Calcium transport protein 1) (CaT1) (Epithelial calcium channel 2) (ECaC2),calcium ion homeostasis [GO:0055074]; calcium ion import across plasma membrane [GO:0098703]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; parathyroid hormone secretion [GO:0035898]; regulation of calcium ion-dependent exocytosis [GO:0017158]; response to calcium ion [GO:0051592],GO:0005262; GO:0005516; GO:0005886; GO:0006816; GO:0017158; GO:0034704; GO:0035898; GO:0042802; GO:0046872; GO:0051592; GO:0055074; GO:0070588; GO:0098703,calcium channel complex [GO:0034704]; plasma membrane [GO:0005886],calcium channel activity [GO:0005262]; calmodulin binding [GO:0005516]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]
TRP,Montipora_capitata_HIv3___RNAseq.2757_t,Q6IVV8,1.48e-75,Polycystin-2 (Curly up) (Cup) (Polycystic kidney disease 2 protein homolog) (Transient receptor potential cation channel subfamily P member 2),atrioventricular valve development [GO:0003171]; calcium ion transmembrane transport [GO:0070588]; cell surface receptor signaling pathway [GO:0007166]; cellular response to calcium ion [GO:0071277]; cellular response to oscillatory fluid shear stress [GO:0097704]; cilium assembly [GO:0060271]; detection of mechanical stimulus [GO:0050982]; determination of heart left/right asymmetry [GO:0061371]; determination of left/right symmetry [GO:0007368]; dorsal/ventral pattern formation [GO:0009953]; embryonic heart tube morphogenesis [GO:0003143]; heart development [GO:0007507]; heart jogging [GO:0003146]; heart looping [GO:0001947]; inorganic cation transmembrane transport [GO:0098662]; kidney development [GO:0001822]; Kupffer's vesicle development [GO:0070121]; left/right pattern formation [GO:0060972]; lymphangiogenesis [GO:0001946]; Notch signaling pathway [GO:0007219]; positive regulation of sequestering of calcium ion [GO:0051284]; potassium ion transmembrane transport [GO:0071805]; pronephros development [GO:0048793]; pronephros morphogenesis [GO:0072114]; protein heterotetramerization [GO:0051290]; protein tetramerization [GO:0051262]; protein-containing complex assembly [GO:0065003]; proximal convoluted tubule development [GO:0072019]; regulation of cardiac muscle contraction by calcium ion signaling [GO:0010882]; regulation of collagen biosynthetic process [GO:0032965]; release of sequestered calcium ion into cytosol [GO:0051209]; ventriculo bulbo valve development [GO:0003173],GO:0001822; GO:0001946; GO:0001947; GO:0003143; GO:0003146; GO:0003171; GO:0003173; GO:0005102; GO:0005245; GO:0005248; GO:0005261; GO:0005262; GO:0005267; GO:0005509; GO:0005783; GO:0005856; GO:0005886; GO:0005929; GO:0007166; GO:0007219; GO:0007368; GO:0007507; GO:0009953; GO:0010882; GO:0015271; GO:0016020; GO:0016323; GO:0016324; GO:0016328; GO:0030017; GO:0030659; GO:0032965; GO:0033017; GO:0034703; GO:0042383; GO:0048793; GO:0050982; GO:0051209; GO:0051262; GO:0051284; GO:0051290; GO:0051371; GO:0060271; GO:0060972; GO:0061371; GO:0065003; GO:0070121; GO:0070588; GO:0071277; GO:0071805; GO:0072019; GO:0072114; GO:0097704; GO:0098662,apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cation channel complex [GO:0034703]; cilium [GO:0005929]; cytoplasmic vesicle membrane [GO:0030659]; cytoskeleton [GO:0005856]; endoplasmic reticulum [GO:0005783]; lateral plasma membrane [GO:0016328]; membrane [GO:0016020]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; sarcomere [GO:0030017]; sarcoplasmic reticulum membrane [GO:0033017],calcium channel activity [GO:0005262]; calcium ion binding [GO:0005509]; monoatomic cation channel activity [GO:0005261]; muscle alpha-actinin binding [GO:0051371]; outward rectifier potassium channel activity [GO:0015271]; potassium channel activity [GO:0005267]; signaling receptor binding [GO:0005102]; voltage-gated calcium channel activity [GO:0005245]; voltage-gated sodium channel activity [GO:0005248]
