query	blast_hit	evalue	ProteinNames	BiologicalProcess	GeneOntologyIDs	CellularComponent	MolecularFunction
Porites_compressa_HIv1___RNAseq.g25518.t1	F1MBP6	5.31e-42	Kelch-like protein 3	distal tubule morphogenesis [GO:0072156]; monoatomic ion homeostasis [GO:0050801]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein ubiquitination [GO:0016567]; renal sodium ion absorption [GO:0070294]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0003779; GO:0005737; GO:0005829; GO:0005856; GO:0006511; GO:0016567; GO:0031463; GO:0043161; GO:0050801; GO:0070294; GO:0070936; GO:0072156; GO:1990756	Cul3-RING ubiquitin ligase complex [GO:0031463]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]	actin binding [GO:0003779]; ubiquitin-like ligase-substrate adaptor activity [GO:1990756]
Porites_compressa_HIv1___RNAseq.g31203.t1	Q8IID4	8.76e-07	Dynein heavy chain-like protein 2	cilium movement involved in cell motility [GO:0060294]; microtubule-based movement [GO:0007018]	GO:0003774; GO:0003777; GO:0005524; GO:0005874; GO:0005875; GO:0005930; GO:0007018; GO:0008569; GO:0016887; GO:0030286; GO:0045505; GO:0051959; GO:0060294; GO:0097729	9+2 motile cilium [GO:0097729]; axoneme [GO:0005930]; dynein complex [GO:0030286]; microtubule [GO:0005874]; microtubule associated complex [GO:0005875]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; cytoskeletal motor activity [GO:0003774]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; microtubule motor activity [GO:0003777]; minus-end-directed microtubule motor activity [GO:0008569]
Porites_compressa_HIv1___TS.g15080.t1a	P21329	3.5e-16	RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)		GO:0003964		RNA-directed DNA polymerase activity [GO:0003964]
Porites_compressa_HIv1___RNAseq.g41069.t1	D3ZEN0	4.28e-55	MICAL-like protein 2 (Junctional Rab13-binding protein) (Molecule interacting with CasL-like 2) (MICAL-L2)	actin cytoskeleton organization [GO:0030036]; actin filament polymerization [GO:0030041]; bicellular tight junction assembly [GO:0070830]; endocytic recycling [GO:0032456]; neuron projection development [GO:0031175]; substrate adhesion-dependent cell spreading [GO:0034446]	GO:0001725; GO:0005886; GO:0005911; GO:0005923; GO:0030036; GO:0030041; GO:0031005; GO:0031175; GO:0031267; GO:0032432; GO:0032456; GO:0034446; GO:0042805; GO:0043005; GO:0046872; GO:0051015; GO:0055037; GO:0070830	actin filament bundle [GO:0032432]; bicellular tight junction [GO:0005923]; cell-cell junction [GO:0005911]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; stress fiber [GO:0001725]	actin filament binding [GO:0051015]; actinin binding [GO:0042805]; filamin binding [GO:0031005]; metal ion binding [GO:0046872]; small GTPase binding [GO:0031267]
Porites_compressa_HIv1___TS.g16234.t1	A0A172J1V3	7.37e-18	Phenazine O-methyltransferase PhzM (EC 2.1.1.-) (SAM-dependent O-methyltransferase)	methylation [GO:0032259]; phenazine biosynthetic process [GO:0002047]	GO:0002047; GO:0008171; GO:0008757; GO:0032259; GO:0042802; GO:0042803; GO:1904047		identical protein binding [GO:0042802]; O-methyltransferase activity [GO:0008171]; protein homodimerization activity [GO:0042803]; S-adenosyl-L-methionine binding [GO:1904047]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]
Porites_compressa_HIv1___RNAseq.g16678.t1	Q5I0R4	2.14e-93	Cilia- and flagella-associated protein 300		GO:0005737; GO:0005856; GO:0031514	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; motile cilium [GO:0031514]	
Porites_compressa_HIv1___TS.g10302.t1	Q8VBX6	8.47e-155	Multiple PDZ domain protein (Multi-PDZ domain protein 1)	cell adhesion [GO:0007155]; dendrite development [GO:0016358]; intracellular protein transport [GO:0006886]	GO:0005923; GO:0006886; GO:0007155; GO:0014069; GO:0016324; GO:0016358; GO:0030425; GO:0031410; GO:0035003; GO:0043220; GO:0045202	apical plasma membrane [GO:0016324]; bicellular tight junction [GO:0005923]; cytoplasmic vesicle [GO:0031410]; dendrite [GO:0030425]; postsynaptic density [GO:0014069]; Schmidt-Lanterman incisure [GO:0043220]; subapical complex [GO:0035003]; synapse [GO:0045202]	
Porites_compressa_HIv1___TS.g39136.t1	P50430	7.04e-146	Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S)	anterior head development [GO:0097065]; autophagy [GO:0006914]; colon epithelial cell migration [GO:0061580]; dermatan sulfate proteoglycan catabolic process [GO:0030209]; positive regulation of neuron projection development [GO:0010976]; regulation of epithelial cell migration [GO:0010632]; response to estrogen [GO:0043627]; response to methylmercury [GO:0051597]; response to nutrient [GO:0007584]; response to pH [GO:0009268]	GO:0003943; GO:0004065; GO:0005764; GO:0006914; GO:0007584; GO:0008484; GO:0009268; GO:0009986; GO:0010632; GO:0010976; GO:0030209; GO:0043627; GO:0043890; GO:0046872; GO:0051597; GO:0061580; GO:0097065	cell surface [GO:0009986]; lysosome [GO:0005764]	arylsulfatase activity [GO:0004065]; metal ion binding [GO:0046872]; N-acetylgalactosamine-4-sulfatase activity [GO:0003943]; N-acetylgalactosamine-6-sulfatase activity [GO:0043890]; sulfuric ester hydrolase activity [GO:0008484]
Porites_compressa_HIv1___RNAseq.g14272.t1	Q80VW5	1.7e-52	Whirlin	auditory receptor cell stereocilium organization [GO:0060088]; cerebellar Purkinje cell layer formation [GO:0021694]; detection of mechanical stimulus involved in sensory perception of sound [GO:0050910]; establishment of localization in cell [GO:0051649]; establishment of protein localization [GO:0045184]; inner ear receptor cell differentiation [GO:0060113]; inner ear receptor cell stereocilium organization [GO:0060122]; paranodal junction maintenance [GO:1990227]; positive regulation of gene expression [GO:0010628]; retina homeostasis [GO:0001895]; sensory perception of light stimulus [GO:0050953]; sensory perception of sound [GO:0007605]	GO:0001895; GO:0001917; GO:0002141; GO:0002142; GO:0005829; GO:0005884; GO:0005929; GO:0007605; GO:0010628; GO:0021694; GO:0030426; GO:0032391; GO:0032420; GO:0032421; GO:0032426; GO:0036064; GO:0042802; GO:0043005; GO:0045184; GO:0045202; GO:0050910; GO:0050953; GO:0051649; GO:0060088; GO:0060113; GO:0060122; GO:1990075; GO:1990227; GO:1990696	actin filament [GO:0005884]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytosol [GO:0005829]; growth cone [GO:0030426]; neuron projection [GO:0043005]; periciliary membrane compartment [GO:1990075]; photoreceptor connecting cilium [GO:0032391]; photoreceptor inner segment [GO:0001917]; stereocilia ankle link [GO:0002141]; stereocilia ankle link complex [GO:0002142]; stereocilium [GO:0032420]; stereocilium bundle [GO:0032421]; stereocilium tip [GO:0032426]; synapse [GO:0045202]; USH2 complex [GO:1990696]	identical protein binding [GO:0042802]
Porites_compressa_HIv1___RNAseq.g36730.t1	Q794E4	4.23e-12	Heterogeneous nuclear ribonucleoprotein F (hnRNP F) [Cleaved into: Heterogeneous nuclear ribonucleoprotein F, N-terminally processed]	mRNA processing [GO:0006397]; regulation of RNA splicing [GO:0043484]; RNA splicing [GO:0008380]	GO:0003723; GO:0003727; GO:0005654; GO:0006397; GO:0008380; GO:0017025; GO:0043484; GO:0045202; GO:0071013; GO:1990904	catalytic step 2 spliceosome [GO:0071013]; nucleoplasm [GO:0005654]; ribonucleoprotein complex [GO:1990904]; synapse [GO:0045202]	RNA binding [GO:0003723]; single-stranded RNA binding [GO:0003727]; TBP-class protein binding [GO:0017025]
Porites_compressa_HIv1___RNAseq.g30580.t1	Q9ZCN4	9.75e-07	Uncharacterized protein RP689	glycoprotein metabolic process [GO:0009100]	GO:0009100; GO:0016020; GO:0016740	membrane [GO:0016020]	transferase activity [GO:0016740]
Porites_compressa_HIv1___RNAseq.g9812.t1	Q96RW7	3.02e-07	Hemicentin-1 (Fibulin-6) (FIBL-6)	actin cytoskeleton organization [GO:0030036]; basement membrane organization [GO:0071711]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617]; visual perception [GO:0007601]	GO:0005201; GO:0005509; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007156; GO:0007157; GO:0007601; GO:0009617; GO:0030036; GO:0032154; GO:0051301; GO:0062023; GO:0070062; GO:0071711	adherens junction [GO:0005912]; basement membrane [GO:0005604]; cell cortex [GO:0005938]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; muscle tendon junction [GO:0005927]	calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]
Porites_compressa_HIv1___RNAseq.g31116.t1	Q5U4T8	3.34e-06	Centromere protein N-B (CENP-N-B)	CENP-A containing chromatin assembly [GO:0034080]; chromosome segregation [GO:0007059]	GO:0000775; GO:0005654; GO:0007059; GO:0034080	chromosome, centromeric region [GO:0000775]; nucleoplasm [GO:0005654]	
Porites_compressa_HIv1___RNAseq.g1587.t1	Q9D820	1.4e-70	Prolyl-tRNA synthetase associated domain-containing protein 1 (PrdX deacylase domain-containing protein 1)		GO:0002161		aminoacyl-tRNA deacylase activity [GO:0002161]
Porites_compressa_HIv1___RNAseq.g25621.t1	Q54H55	4.13e-42	FAD-linked oxidoreductase DDB_G0289697 (EC 1.-.-.-)		GO:0016491; GO:0071949		FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]
Porites_compressa_HIv1___RNAseq.g35925.t1	Q3TXU5	0	Deoxyhypusine synthase (DHS) (EC 2.5.1.46)	glucose homeostasis [GO:0042593]; positive regulation of T cell proliferation [GO:0042102]; spermidine catabolic process [GO:0046203]	GO:0005829; GO:0034038; GO:0042102; GO:0042593; GO:0042802; GO:0046203	cytosol [GO:0005829]	deoxyhypusine synthase activity [GO:0034038]; identical protein binding [GO:0042802]
Porites_compressa_HIv1___RNAseq.g25787.t1	Q99LQ7	3.62e-104	Plasmanylethanolamine desaturase 1 (EC 1.14.19.77) (Transmembrane protein 189)	ether lipid biosynthetic process [GO:0008611]; fatty acid metabolic process [GO:0006631]	GO:0005789; GO:0006631; GO:0008611; GO:0050207	endoplasmic reticulum membrane [GO:0005789]	plasmanylethanolamine desaturase activity [GO:0050207]
Porites_compressa_HIv1___RNAseq.g12456.t1	P13634	1.86e-17	Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase I) (Carbonic anhydrase I) (CA-I) (Cyanamide hydratase CA1) (EC 4.2.1.69)		GO:0004064; GO:0004089; GO:0005737; GO:0008270; GO:0018820	cytoplasm [GO:0005737]	arylesterase activity [GO:0004064]; carbonate dehydratase activity [GO:0004089]; cyanamide hydratase activity [GO:0018820]; zinc ion binding [GO:0008270]
Porites_compressa_HIv1___RNAseq.g6466.t1	Q9M1R1	1.22e-53	L-cysteine desulfhydrase (EC 4.4.1.28) (AtL-CDes1) (L-CDes1) (AtLCD)	L-cysteine catabolic process to pyruvate [GO:0019450]	GO:0019450; GO:0080146		L-cysteine desulfhydrase activity [GO:0080146]
