query	blast_hit	evalue	ProteinNames	BiologicalProcess	GeneOntologyIDs	CellularComponent	MolecularFunction
Pocillopora_acuta_HIv2___RNAseq.g21450.t1	Q96RW7	3.97e-16	Hemicentin-1 (Fibulin-6) (FIBL-6)	actin cytoskeleton organization [GO:0030036]; basement membrane organization [GO:0071711]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617]; visual perception [GO:0007601]	GO:0005201; GO:0005509; GO:0005604; GO:0005737; GO:0005912; GO:0005927; GO:0005938; GO:0007156; GO:0007157; GO:0007601; GO:0009617; GO:0030036; GO:0032154; GO:0051301; GO:0062023; GO:0070062; GO:0071711	adherens junction [GO:0005912]; basement membrane [GO:0005604]; cell cortex [GO:0005938]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; muscle tendon junction [GO:0005927]	calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]
Pocillopora_acuta_HIv2___RNAseq.g434.t1	P58421	0	Frizzled-5 (Fz-5) (Xfz5)	camera-type eye development [GO:0043010]; canonical Wnt signaling pathway [GO:0060070]; neuron development [GO:0048666]; non-canonical Wnt signaling pathway [GO:0035567]; regulation of cell differentiation [GO:0045595]; regulation of cell population proliferation [GO:0042127]	GO:0000139; GO:0004930; GO:0005886; GO:0017147; GO:0035567; GO:0042127; GO:0042813; GO:0043010; GO:0045595; GO:0048666; GO:0060070	Golgi membrane [GO:0000139]; plasma membrane [GO:0005886]	G protein-coupled receptor activity [GO:0004930]; Wnt receptor activity [GO:0042813]; Wnt-protein binding [GO:0017147]
Pocillopora_acuta_HIv2___RNAseq.g15081.t1	Q9ZRW8	2.09e-32	Glutathione S-transferase U19 (AtGSTU19) (EC 2.5.1.18) (GST class-tau member 19) (Glutathione S-transferase 8)	cellular response to water deprivation [GO:0042631]; glutathione metabolic process [GO:0006749]; response to oxidative stress [GO:0006979]; toxin catabolic process [GO:0009407]	GO:0000325; GO:0004364; GO:0004601; GO:0005737; GO:0005739; GO:0005829; GO:0005886; GO:0006749; GO:0006979; GO:0009407; GO:0009507; GO:0009570; GO:0042631; GO:0043295	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; plant-type vacuole [GO:0000325]; plasma membrane [GO:0005886]	glutathione binding [GO:0043295]; glutathione transferase activity [GO:0004364]; peroxidase activity [GO:0004601]
Pocillopora_acuta_HIv2___RNAseq.g22042.t1	P49256	4.96e-96	Vesicular integral-membrane protein VIP36 (Lectin mannose-binding 2) (Vesicular integral-membrane protein 36) (VIP36)	positive regulation of phagocytosis [GO:0050766]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	GO:0000139; GO:0005537; GO:0005615; GO:0005793; GO:0005794; GO:0005886; GO:0006890; GO:0009986; GO:0015031; GO:0030137; GO:0031072; GO:0031410; GO:0046872; GO:0048471; GO:0050766; GO:0070382	cell surface [GO:0009986]; COPI-coated vesicle [GO:0030137]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; exocytic vesicle [GO:0070382]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]	D-mannose binding [GO:0005537]; heat shock protein binding [GO:0031072]; metal ion binding [GO:0046872]
Pocillopora_acuta_HIv2___RNAseq.g16619.t1	O95140	2.05e-08	Mitofusin-2 (EC 3.6.5.-) (Transmembrane GTPase MFN2)	aerobic respiration [GO:0009060]; apoptotic process [GO:0006915]; blastocyst formation [GO:0001825]; camera-type eye morphogenesis [GO:0048593]; mitochondrial fusion [GO:0008053]; mitochondrial membrane organization [GO:0007006]; mitochondrion localization [GO:0051646]; negative regulation of Ras protein signal transduction [GO:0046580]; negative regulation of smooth muscle cell proliferation [GO:0048662]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of vascular associated smooth muscle cell apoptotic process [GO:1905461]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; protein localization to phagophore assembly site [GO:0034497]; protein targeting to mitochondrion [GO:0006626]; response to unfolded protein [GO:0006986]; type 2 mitophagy [GO:0061734]	GO:0001825; GO:0003924; GO:0005525; GO:0005739; GO:0005741; GO:0005829; GO:0006626; GO:0006915; GO:0006986; GO:0007006; GO:0008053; GO:0009060; GO:0015630; GO:0031625; GO:0034497; GO:0046580; GO:0048593; GO:0048662; GO:0051646; GO:0061734; GO:0120162; GO:1904707; GO:1905461	cytosol [GO:0005829]; microtubule cytoskeleton [GO:0015630]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ubiquitin protein ligase binding [GO:0031625]
Pocillopora_acuta_HIv2___RNAseq.g22789.t1	Q9Y5X5	7.46e-21	Neuropeptide FF receptor 2 (G-protein coupled receptor 74) (G-protein coupled receptor HLWAR77) (Neuropeptide G-protein coupled receptor)	cellular response to hormone stimulus [GO:0032870]; detection of abiotic stimulus [GO:0009582]; G protein-coupled receptor signaling pathway [GO:0007186]; neuropeptide signaling pathway [GO:0007218]; regulation of MAPK cascade [GO:0043408]	GO:0004930; GO:0005886; GO:0007186; GO:0007218; GO:0008188; GO:0009582; GO:0015629; GO:0031628; GO:0032870; GO:0043408	actin cytoskeleton [GO:0015629]; plasma membrane [GO:0005886]	G protein-coupled receptor activity [GO:0004930]; neuropeptide receptor activity [GO:0008188]; opioid receptor binding [GO:0031628]
Pocillopora_acuta_HIv2___RNAseq.g25875.t1	Q9CWF6	0	BBSome complex member BBS2 (Bardet-Biedl syndrome 2 protein homolog)	adult behavior [GO:0030534]; artery smooth muscle contraction [GO:0014824]; brain morphogenesis [GO:0048854]; cartilage development [GO:0051216]; cerebral cortex development [GO:0021987]; cilium assembly [GO:0060271]; fat cell differentiation [GO:0045444]; gene expression [GO:0010467]; Golgi to plasma membrane protein transport [GO:0043001]; hippocampus development [GO:0021766]; leptin-mediated signaling pathway [GO:0033210]; negative regulation of appetite by leptin-mediated signaling pathway [GO:0038108]; negative regulation of gene expression [GO:0010629]; negative regulation of multicellular organism growth [GO:0040015]; non-motile cilium assembly [GO:1905515]; photoreceptor cell maintenance [GO:0045494]; positive regulation of multicellular organism growth [GO:0040018]; protein localization [GO:0008104]; protein localization to organelle [GO:0033365]; regulation of cilium beat frequency involved in ciliary motility [GO:0060296]; response to leptin [GO:0044321]; sperm axoneme assembly [GO:0007288]; striatum development [GO:0021756]; vasodilation [GO:0042311]; visual perception [GO:0007601]	GO:0005737; GO:0005902; GO:0007288; GO:0007601; GO:0008104; GO:0010467; GO:0010629; GO:0014824; GO:0016020; GO:0021756; GO:0021766; GO:0021987; GO:0030534; GO:0031514; GO:0032420; GO:0033210; GO:0033365; GO:0034451; GO:0034464; GO:0036064; GO:0038108; GO:0040015; GO:0040018; GO:0042311; GO:0043001; GO:0043005; GO:0044321; GO:0045444; GO:0045494; GO:0048854; GO:0051216; GO:0060170; GO:0060271; GO:0060296; GO:0061629; GO:1905515	BBSome [GO:0034464]; centriolar satellite [GO:0034451]; ciliary basal body [GO:0036064]; ciliary membrane [GO:0060170]; cytoplasm [GO:0005737]; membrane [GO:0016020]; microvillus [GO:0005902]; motile cilium [GO:0031514]; neuron projection [GO:0043005]; stereocilium [GO:0032420]	RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]
Pocillopora_acuta_HIv2___TS.g20659.t1	Q9GZQ4	1.92e-24	Neuromedin-U receptor 2 (NMU-R2) (G-protein coupled receptor FM-4) (G-protein coupled receptor TGR-1)	arachidonate secretion [GO:0050482]; cell-cell signaling [GO:0007267]; central nervous system development [GO:0007417]; feeding behavior [GO:0007631]; grooming behavior [GO:0007625]; neuropeptide signaling pathway [GO:0007218]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of calcium-mediated signaling [GO:0050850]; reduction of food intake in response to dietary excess [GO:0002023]; regulation of smooth muscle contraction [GO:0006940]; response to pain [GO:0048265]	GO:0001607; GO:0002023; GO:0004930; GO:0005229; GO:0005525; GO:0005886; GO:0006940; GO:0007200; GO:0007218; GO:0007267; GO:0007417; GO:0007625; GO:0007631; GO:0008188; GO:0016020; GO:0042924; GO:0048265; GO:0050482; GO:0050850	membrane [GO:0016020]; plasma membrane [GO:0005886]	G protein-coupled receptor activity [GO:0004930]; GTP binding [GO:0005525]; intracellularly calcium-gated chloride channel activity [GO:0005229]; neuromedin U binding [GO:0042924]; neuromedin U receptor activity [GO:0001607]; neuropeptide receptor activity [GO:0008188]
Pocillopora_acuta_HIv2___RNAseq.g13570.t1	Q9ESK8	2.18e-09	Calcium-activated potassium channel subunit beta-4 (BK channel subunit beta-4) (BKbeta4) (Calcium-activated potassium channel, subfamily M subunit beta-4) (Charybdotoxin receptor subunit beta-4) (K(VCA)beta-4) (Maxi K channel subunit beta-4) (Slo-beta-4)	action potential [GO:0001508]; detection of calcium ion [GO:0005513]; neuronal action potential [GO:0019228]; potassium ion transport [GO:0006813]	GO:0001508; GO:0005513; GO:0005886; GO:0006813; GO:0008076; GO:0015269; GO:0015459; GO:0019228; GO:0099508	plasma membrane [GO:0005886]; voltage-gated potassium channel complex [GO:0008076]	calcium-activated potassium channel activity [GO:0015269]; potassium channel regulator activity [GO:0015459]; voltage-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential [GO:0099508]
Pocillopora_acuta_HIv2___RNAseq.g12815.t1	Q8TEQ8	3.48e-179	GPI ethanolamine phosphate transferase 3, catalytic subunit (EC 2.-.-.-) (Phosphatidylinositol-glycan biosynthesis class O protein) (PIG-O) (hGPCR43)	GPI anchor biosynthetic process [GO:0006506]	GO:0005789; GO:0006506; GO:0016020; GO:0051377	endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]	mannose-ethanolamine phosphotransferase activity [GO:0051377]
Pocillopora_acuta_HIv2___RNAseq.g7647.t1	Q9BYK8	8.02e-177	3'-5' exoribonuclease HELZ2 (EC 3.1.13.1) (ATP-dependent RNA helicase PRIC285) (EC 3.6.4.13) (Helicase with zinc finger 2, transcriptional coactivator) (Helicase with zinc finger domain 2) (PPAR-alpha-interacting complex protein 285) (PPAR-gamma DNA-binding domain-interacting protein 1) (PDIP1) (PPAR-gamma DBD-interacting protein 1) (Peroxisomal proliferator-activated receptor A-interacting complex 285 kDa protein)	positive regulation of transcription by RNA polymerase II [GO:0045944]; regulatory ncRNA-mediated post-transcriptional gene silencing [GO:0035194]	GO:0003677; GO:0003713; GO:0003723; GO:0003724; GO:0005524; GO:0005654; GO:0005737; GO:0005829; GO:0008270; GO:0008859; GO:0016020; GO:0016887; GO:0035194; GO:0043186; GO:0045944	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; P granule [GO:0043186]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; exoribonuclease II activity [GO:0008859]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; transcription coactivator activity [GO:0003713]; zinc ion binding [GO:0008270]
Pocillopora_acuta_HIv2___RNAseq.g14272.t1	Q9LIQ6	9.91e-09	PHD finger protein ING1 (Protein INHIBITOR OF GROWTH 1) (Protein AtING1)	chromatin organization [GO:0006325]	GO:0005634; GO:0006325; GO:0008270; GO:0035064	nucleus [GO:0005634]	methylated histone binding [GO:0035064]; zinc ion binding [GO:0008270]
Pocillopora_acuta_HIv2___RNAseq.g24161.t1	A0A2B4SJA1	4.63e-36	Stimulator of interferon genes protein 2 (Sp-STING2)	activation of innate immune response [GO:0002218]; autophagosome assembly [GO:0000045]; innate immune response [GO:0045087]; positive regulation of macroautophagy [GO:0016239]; positive regulation of type I interferon production [GO:0032481]; reticulophagy [GO:0061709]	GO:0000045; GO:0002218; GO:0005776; GO:0005789; GO:0016239; GO:0032481; GO:0035438; GO:0045087; GO:0061507; GO:0061709	autophagosome [GO:0005776]; endoplasmic reticulum membrane [GO:0005789]	2',3'-cyclic GMP-AMP binding [GO:0061507]; cyclic-di-GMP binding [GO:0035438]
Pocillopora_acuta_HIv2___TS.g22235.t1	Q13443	3.15e-21	Disintegrin and metalloproteinase domain-containing protein 9 (ADAM 9) (EC 3.4.24.-) (Cellular disintegrin-related protein) (Meltrin-gamma) (Metalloprotease/disintegrin/cysteine-rich protein 9) (Myeloma cell metalloproteinase)	amyloid precursor protein catabolic process [GO:0042987]; cell adhesion [GO:0007155]; cell adhesion mediated by integrin [GO:0033627]; cell migration [GO:0016477]; cell-cell adhesion mediated by integrin [GO:0033631]; cell-matrix adhesion [GO:0007160]; cellular response to lipopolysaccharide [GO:0071222]; integrin-mediated signaling pathway [GO:0007229]; keratinocyte differentiation [GO:0030216]; membrane protein ectodomain proteolysis [GO:0006509]; membrane protein intracellular domain proteolysis [GO:0031293]; monocyte activation [GO:0042117]; positive regulation of cell adhesion mediated by integrin [GO:0033630]; positive regulation of cell migration [GO:0030335]; positive regulation of keratinocyte migration [GO:0051549]; positive regulation of macrophage fusion [GO:0034241]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; positive regulation of protein secretion [GO:0050714]; protein processing [GO:0016485]; response to calcium ion [GO:0051592]; response to glucocorticoid [GO:0051384]; response to hydrogen peroxide [GO:0042542]; response to manganese ion [GO:0010042]; response to tumor necrosis factor [GO:0034612]; transforming growth factor beta receptor signaling pathway [GO:0007179]	GO:0004222; GO:0005080; GO:0005178; GO:0005518; GO:0005615; GO:0005886; GO:0005925; GO:0006509; GO:0007155; GO:0007160; GO:0007179; GO:0007229; GO:0008237; GO:0009897; GO:0009986; GO:0010042; GO:0016477; GO:0016485; GO:0017124; GO:0030216; GO:0030335; GO:0031293; GO:0033627; GO:0033630; GO:0033631; GO:0034241; GO:0034612; GO:0042117; GO:0042542; GO:0042987; GO:0043236; GO:0043410; GO:0046872; GO:0050714; GO:0051044; GO:0051384; GO:0051549; GO:0051592; GO:0070062; GO:0071222; GO:1902945	cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; plasma membrane [GO:0005886]	collagen binding [GO:0005518]; integrin binding [GO:0005178]; laminin binding [GO:0043236]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metalloendopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902945]; metallopeptidase activity [GO:0008237]; protein kinase C binding [GO:0005080]; SH3 domain binding [GO:0017124]
Pocillopora_acuta_HIv2___RNAseq.g9812.t1	Q96IZ5	8.93e-64	RNA-binding protein 41 (RNA-binding motif protein 41)	mRNA splicing, via spliceosome [GO:0000398]	GO:0000398; GO:0005689; GO:0030626; GO:0097157	U12-type spliceosomal complex [GO:0005689]	pre-mRNA intronic binding [GO:0097157]; U12 snRNA binding [GO:0030626]
Pocillopora_acuta_HIv2___RNAseq.g11209.t1	Q29496	3.18e-107	Cytochrome P450 3A24 (EC 1.14.14.1) (CYPIIIA24)	oxidative demethylation [GO:0070989]; steroid metabolic process [GO:0008202]	GO:0004497; GO:0005506; GO:0005789; GO:0008202; GO:0016712; GO:0020037; GO:0050649; GO:0070989	endoplasmic reticulum membrane [GO:0005789]	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]; testosterone 6-beta-hydroxylase activity [GO:0050649]
Pocillopora_acuta_HIv2___TS.g10300.t1	Q0P5L5	2.75e-154	Formylglycine-generating enzyme (FGE) (EC 1.8.3.7) (C-alpha-formylglycine-generating enzyme 1) (Sulfatase-modifying factor 1)	post-translational protein modification [GO:0043687]; protein oxidation [GO:0018158]	GO:0005783; GO:0005788; GO:0018158; GO:0042802; GO:0043687; GO:0120147; GO:1903135	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]	cupric ion binding [GO:1903135]; formylglycine-generating oxidase activity [GO:0120147]; identical protein binding [GO:0042802]
Pocillopora_acuta_HIv2___RNAseq.g12456.t1	P20825	4.82e-30	Retrovirus-related Pol polyprotein from transposon 297 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]	DNA integration [GO:0015074]; proteolysis [GO:0006508]	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0015074; GO:0042575	DNA polymerase complex [GO:0042575]	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]
Pocillopora_acuta_HIv2___RNAseq.g17018.t1	P0CI65	1.58e-40	Nephrocystin-3	cilium assembly [GO:0060271]; convergent extension [GO:0060026]; determination of left/right symmetry [GO:0007368]; heart jogging [GO:0003146]; kidney development [GO:0001822]; Kupffer's vesicle development [GO:0070121]; left/right pattern formation [GO:0060972]; pronephros development [GO:0048793]; visual perception [GO:0007601]; Wnt signaling pathway [GO:0016055]	GO:0001822; GO:0003146; GO:0005929; GO:0007368; GO:0007601; GO:0016055; GO:0048793; GO:0060026; GO:0060271; GO:0060972; GO:0070121; GO:0097543; GO:0097546	ciliary base [GO:0097546]; ciliary inversin compartment [GO:0097543]; cilium [GO:0005929]	
Pocillopora_acuta_HIv2___RNAseq.g19553.t1	Q3ZC91	7.76e-37	Cyclic GMP-AMP phosphodiesterase SMPDL3A (2',3'-cGAMP phosphodiesterase SMPDL3A) (EC 3.1.4.-) (Acid sphingomyelinase-like phosphodiesterase 3a) (ASM-like phosphodiesterase 3a) (EC 3.6.1.15)	negative regulation of cGAS/STING signaling pathway [GO:0160049]; nucleoside triphosphate catabolic process [GO:0009143]	GO:0005576; GO:0005615; GO:0008081; GO:0008270; GO:0009143; GO:0016887; GO:0160049	extracellular region [GO:0005576]; extracellular space [GO:0005615]	ATP hydrolysis activity [GO:0016887]; phosphoric diester hydrolase activity [GO:0008081]; zinc ion binding [GO:0008270]
