query,gene_set,Bhattacharya_ID,blast_hit,evalue,ProteinNames,BiologicalProcess,GOs,CellularComponent,MolecularFunction,short_name
Pocillopora_acuta_HIv2___RNAseq.17467_t,SLC,,A1L1W9,1.74e-53,Monocarboxylate transporter 10 (MCT 10) (Solute carrier family 16 member 10),aromatic amino acid transport [GO:0015801]; thyroid hormone transport [GO:0070327],GO:0005302; GO:0005886; GO:0015173; GO:0015192; GO:0015196; GO:0015349; GO:0015801; GO:0016323; GO:0022857; GO:0070327,basolateral plasma membrane [GO:0016323]; plasma membrane [GO:0005886],aromatic amino acid transmembrane transporter activity [GO:0015173]; L-phenylalanine transmembrane transporter activity [GO:0015192]; L-tryptophan transmembrane transporter activity [GO:0015196]; L-tyrosine transmembrane transporter activity [GO:0005302]; thyroid hormone transmembrane transporter activity [GO:0015349]; transmembrane transporter activity [GO:0022857],Monocarboxylate transporter 10
Pocillopora_acuta_HIv2___RNAseq.19507_t,SLC,,Q78KK3,8.3e-87,Solute carrier family 22 member 18 (Imprinted multi-membrane-spanning polyspecific transporter-related protein 1) (Multi-membrane-spanning polyspecific transporter) (Organic cation transporter-like protein 2) (ORCTL-2),monoatomic anion transport [GO:0006820],GO:0005886; GO:0006820; GO:0008514; GO:0015293; GO:0016324,apical plasma membrane [GO:0016324]; plasma membrane [GO:0005886],organic anion transmembrane transporter activity [GO:0008514]; symporter activity [GO:0015293],Solute carrier family 22 member 18
Pocillopora_acuta_HIv2___RNAseq.22237_t,calcium,,Q62398,4.21e-180,Cyclic nucleotide-gated channel alpha-2 (CNG channel alpha-2) (CNG-2) (CNG2) (Olfactory cyclic nucleotide-gated channel subunit 1) (OCNC1),calcium ion transport [GO:0006816]; potassium ion transport [GO:0006813]; sensory perception of smell [GO:0007608]; sodium ion transport [GO:0006814],GO:0005216; GO:0005221; GO:0005249; GO:0005262; GO:0005516; GO:0005886; GO:0006813; GO:0006814; GO:0006816; GO:0007608; GO:0030552; GO:0030553; GO:0060170; GO:0098804,ciliary membrane [GO:0060170]; non-motile cilium membrane [GO:0098804]; plasma membrane [GO:0005886],calcium channel activity [GO:0005262]; calmodulin binding [GO:0005516]; cAMP binding [GO:0030552]; cGMP binding [GO:0030553]; intracellularly cyclic nucleotide-activated monoatomic cation channel activity [GO:0005221]; monoatomic ion channel activity [GO:0005216]; voltage-gated potassium channel activity [GO:0005249],Cyclic nucleotide-gated channel alpha-2
Pocillopora_acuta_HIv2___RNAseq.24886_t,SLC,,Q2HJ10,1.12e-120,Proton-coupled zinc antiporter SLC30A2 (Solute carrier family 30 member 2) (Zinc transporter 2) (ZnT-2),intracellular zinc ion homeostasis [GO:0006882]; zinc ion import into lysosome [GO:0140916]; zinc ion import into mitochondrion [GO:0140917]; zinc ion import into zymogen granule [GO:0140915],GO:0005743; GO:0005765; GO:0005770; GO:0005886; GO:0006882; GO:0010008; GO:0030658; GO:0042589; GO:0042802; GO:0046872; GO:0140826; GO:0140915; GO:0140916; GO:0140917,endosome membrane [GO:0010008]; late endosome [GO:0005770]; lysosomal membrane [GO:0005765]; mitochondrial inner membrane [GO:0005743]; plasma membrane [GO:0005886]; transport vesicle membrane [GO:0030658]; zymogen granule membrane [GO:0042589],identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; zinc:proton antiporter activity [GO:0140826],Proton-coupled zinc antiporter SLC30A2
Pocillopora_acuta_HIv2___RNAseq.25384_t,SLC,,B3TP03,7.73e-126,Cationic amino acid transporter 2 (CAT-2) (CAT2) (cCAT-2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2),L-arginine import across plasma membrane [GO:0097638]; L-lysine import across plasma membrane [GO:0097639]; L-ornithine transmembrane transport [GO:1903352],GO:0000064; GO:0005737; GO:0005794; GO:0005886; GO:0015189; GO:0031410; GO:0061459; GO:0097638; GO:0097639; GO:1903352,cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886],L-arginine transmembrane transporter activity [GO:0061459]; L-lysine transmembrane transporter activity [GO:0015189]; L-ornithine transmembrane transporter activity [GO:0000064],Cationic amino acid transporter 2
Pocillopora_acuta_HIv2___RNAseq.27755_t,SLC,,A7S1L6,5.11e-180,GDP-fucose transporter 1 (Solute carrier family 35 member C1 homolog),GDP-fucose import into Golgi lumen [GO:0036085],GO:0000139; GO:0005457; GO:0005794; GO:0015297; GO:0036085,Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139],antiporter activity [GO:0015297]; GDP-fucose transmembrane transporter activity [GO:0005457],GDP-fucose transporter 1
Pocillopora_acuta_HIv2___RNAseq.29542_t,calcium,,O00305,1.05e-71,Voltage-dependent L-type calcium channel subunit beta-4 (CAB4) (Calcium channel voltage-dependent subunit beta 4),"adult walking behavior [GO:0007628]; calcium ion transport [GO:0006816]; cAMP metabolic process [GO:0046058]; cellular response to leukemia inhibitory factor [GO:1990830]; chemical synaptic transmission [GO:0007268]; detection of light stimulus involved in visual perception [GO:0050908]; gamma-aminobutyric acid secretion [GO:0014051]; gamma-aminobutyric acid signaling pathway [GO:0007214]; muscle cell development [GO:0055001]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; neuromuscular junction development [GO:0007528]; neuronal action potential propagation [GO:0019227]; Peyer's patch development [GO:0048541]; positive regulation of protein localization to nucleolus [GO:1904751]; regulation of synaptic vesicle exocytosis [GO:2000300]; regulation of voltage-gated calcium channel activity [GO:1901385]; spleen development [GO:0048536]; synaptic transmission, glutamatergic [GO:0035249]; T cell receptor signaling pathway [GO:0050852]; thymus development [GO:0048538]",GO:0005829; GO:0005886; GO:0005891; GO:0006816; GO:0007214; GO:0007268; GO:0007528; GO:0007628; GO:0008285; GO:0009898; GO:0014051; GO:0016607; GO:0019227; GO:0019901; GO:0035249; GO:0045202; GO:0046058; GO:0048536; GO:0048538; GO:0048541; GO:0050852; GO:0050908; GO:0055001; GO:0098793; GO:0098978; GO:0099626; GO:1901385; GO:1904751; GO:1990830; GO:2000134; GO:2000300,cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nuclear speck [GO:0016607]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; synapse [GO:0045202]; voltage-gated calcium channel complex [GO:0005891],protein kinase binding [GO:0019901]; voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels [GO:0099626],Voltage-dependent L-type calcium channel subunit beta-4
Pocillopora_acuta_HIv2___RNAseq.30394_t,SLC,,B0G143,3.91e-93,Mitochondrial substrate carrier family protein ucpB (Solute carrier family 25 member 30 homolog) (Uncoupler protein B),response to cadmium ion [GO:0046686],GO:0005743; GO:0022857; GO:0046686,mitochondrial inner membrane [GO:0005743],transmembrane transporter activity [GO:0022857],Mitochondrial substrate carrier family protein ucpB
Pocillopora_acuta_HIv2___RNAseq.30677_t,SLC,,Q7ZX53,7.5e-99,Solute carrier family 22 member 15-like,monoatomic ion transport [GO:0006811],GO:0006811; GO:0016020; GO:0022857,membrane [GO:0016020],transmembrane transporter activity [GO:0022857],Solute carrier family 22 member 15-like
Pocillopora_acuta_HIv2___RNAseq.30912_t,SLC,,A1L1W9,1.2e-69,Monocarboxylate transporter 10 (MCT 10) (Solute carrier family 16 member 10),aromatic amino acid transport [GO:0015801]; thyroid hormone transport [GO:0070327],GO:0005302; GO:0005886; GO:0015173; GO:0015192; GO:0015196; GO:0015349; GO:0015801; GO:0016323; GO:0022857; GO:0070327,basolateral plasma membrane [GO:0016323]; plasma membrane [GO:0005886],aromatic amino acid transmembrane transporter activity [GO:0015173]; L-phenylalanine transmembrane transporter activity [GO:0015192]; L-tryptophan transmembrane transporter activity [GO:0015196]; L-tyrosine transmembrane transporter activity [GO:0005302]; thyroid hormone transmembrane transporter activity [GO:0015349]; transmembrane transporter activity [GO:0022857],Monocarboxylate transporter 10
Pocillopora_acuta_HIv2___RNAseq.7857_t,SLC,,O43826,1.19e-99,Glucose-6-phosphate exchanger SLC37A4 (Glucose-5-phosphate transporter) (Glucose-6-phosphate translocase) (Solute carrier family 37 member 4) (Transformation-related gene 19 protein) (TRG-19),gluconeogenesis [GO:0006094]; glucose homeostasis [GO:0042593]; glucose metabolic process [GO:0006006]; glucose-6-phosphate transport [GO:0015760]; phosphate ion transmembrane transport [GO:0035435],GO:0005783; GO:0005789; GO:0006006; GO:0006094; GO:0015152; GO:0015760; GO:0016020; GO:0035435; GO:0042593; GO:0061513,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020],glucose 6-phosphate:phosphate antiporter activity [GO:0061513]; glucose-6-phosphate transmembrane transporter activity [GO:0015152],Glucose-6-phosphate exchanger SLC37A4
Pocillopora_acuta_HIv2___RNAseq.7868_t,SLC,,O43826,1.36e-13,Glucose-6-phosphate exchanger SLC37A4 (Glucose-5-phosphate transporter) (Glucose-6-phosphate translocase) (Solute carrier family 37 member 4) (Transformation-related gene 19 protein) (TRG-19),gluconeogenesis [GO:0006094]; glucose homeostasis [GO:0042593]; glucose metabolic process [GO:0006006]; glucose-6-phosphate transport [GO:0015760]; phosphate ion transmembrane transport [GO:0035435],GO:0005783; GO:0005789; GO:0006006; GO:0006094; GO:0015152; GO:0015760; GO:0016020; GO:0035435; GO:0042593; GO:0061513,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020],glucose 6-phosphate:phosphate antiporter activity [GO:0061513]; glucose-6-phosphate transmembrane transporter activity [GO:0015152],Glucose-6-phosphate exchanger SLC37A4
